NAME,CENSUS2011POP,RTA2010,RTA2011,RTA2012
AK,7,6,4,7
AL,29,32,34,25
AR,11,13,12,10
AZ,115,118,92,125
CA,636,293,197,538
CO,101,101,74,81
CT,43,54,38,30
DC,65,52,46,56
DE,13,10,9,7
FL,128,99,172,90
GA,84,75,84,70
HI,17,16,10,16
IA,30,38,26,29
ID,19,18,8,10
IL,108,228,89,84
IN,52,87,37,33
KS,74,66,55,71
KY,78,70,74,74
LA,37,58,32,43
MA,112,124,95,120
MD,51,58,46,53
ME,11,7,11,5
MI,97,142,96,101
MN,82,91,50,65
MO,42,47,32,30
MS,7,14,19,14
MT,21,15,14,9
NC,116,135,111,91
ND,7,16,8,12
NE,9,24,11,8
NH,21,21,22,24
NJ,65,62,56,62
NM,19,16,7,15
NV,19,12,6,13
NY,277,245,165,197
OH,131,175,125,151
OK,44,59,41,34
OR,90,78,39,62
PA,172,175,140,123
RI,7,8,4,7
SC,45,50,53,28
SD,10,9,8,7
TN,95,101,71,63
TX,225,213,165,163
UT,48,29,25,33
VA,78,79,66,64
VT,16,18,15,7
WA,103,106,67,90
WI,77,161,77,81
WV,23,26,23,20
WY,12,11,13,10